Start Time,Period (min),NE Name,DGW function,User Plane L7 parser DNS downlink packets (number),User Plane L7 parser DNS uplink packets (number),User Plane L7 parser downlink packets (number),User Plane L34 parser uplink packets (number),User Plane L7 parser uplink packets (number),User Plane L34 parser downlink packets (number),Date,Time
2023-09-06 16:30:00,30,UPPLB02,nodeName=dgw,140316430,146524127,22851063933,69583725,10260621039,195680741,2023-09-06,16:30:00
2023-09-06 16:30:00,30,UPBNB02,nodeName=dgw,162307735,169329904,22490553058,172341633,10309427245,321474228,2023-09-06,16:30:00
2023-09-06 16:30:00,30,UPPNB06,nodeName=dgw,184927807,193306003,33590339207,86402616,16093650167,237380893,2023-09-06,16:30:00
2023-09-06 16:30:00,30,UPCBT03,nodeName=dgw,123297119,139541392,18839074802,101059507,8281244061,179084313,2023-09-06,16:30:00
2023-09-06 16:30:00,30,UPPNB04,nodeName=dgw,80664333,84242586,14628721005,36753458,6997364254,103387266,2023-09-06,16:30:00
2023-09-06 17:00:00,30,UPPNB06,nodeName=dgw,186671043,195152910,34128325873,83645060,16113793034,236566233,2023-09-06,17:00:00
2023-09-06 17:00:00,30,UPCBT03,nodeName=dgw,126342801,143131912,19309354630,107279573,8586225108,183126444,2023-09-06,17:00:00
2023-09-06 17:00:00,30,UPBNB02,nodeName=dgw,166941071,174403714,23526080588,180503340,10841603787,326131908,2023-09-06,17:00:00
2023-09-06 17:00:00,30,UPPLB02,nodeName=dgw,142208238,148666740,23084186604,68211364,10437822429,201111142,2023-09-06,17:00:00
2023-09-06 17:00:00,30,UPPNB04,nodeName=dgw,81358231,85045271,14868743520,36773997,7018848237,106803824,2023-09-06,17:00:00
2023-09-06 17:30:00,30,UPCBT03,nodeName=dgw,128748283,145617937,20452804031,110973768,9008100768,188400134,2023-09-06,17:30:00
2023-09-06 17:30:00,30,UPPNB06,nodeName=dgw,192216257,200805531,36265410246,84859163,16992398246,243480600,2023-09-06,17:30:00
2023-09-06 17:30:00,30,UPPLB02,nodeName=dgw,149777137,156505185,25057134637,71979468,11304112888,212342382,2023-09-06,17:30:00
2023-09-06 17:30:00,30,UPBNB02,nodeName=dgw,173087968,180841818,24924857263,185719125,11437456101,337513675,2023-09-06,17:30:00
2023-09-06 17:30:00,30,UPPNB04,nodeName=dgw,83681632,87461761,15758089851,37783573,7389661988,108800253,2023-09-06,17:30:00
2023-09-06 18:00:00,30,UPPNB06,nodeName=dgw,212259956,221446138,38171012383,88709317,17984250205,250969968,2023-09-06,18:00:00
2023-09-06 18:00:00,30,UPPNB04,nodeName=dgw,92364048,96346017,16622271316,39662805,7826906319,111461424,2023-09-06,18:00:00
2023-09-06 18:00:00,30,UPCBT03,nodeName=dgw,137703014,156667937,21016777999,105378138,9285249284,186689291,2023-09-06,18:00:00
2023-09-06 18:00:00,30,UPPLB02,nodeName=dgw,174680567,182286494,27987283638,79659964,12774239618,221293371,2023-09-06,18:00:00
2023-09-06 18:00:00,30,UPBNB02,nodeName=dgw,184773322,192658342,25340475718,180091478,11679851070,341608147,2023-09-06,18:00:00
2023-09-06 18:30:00,30,UPPNB04,nodeName=dgw,94695907,98944177,17345956523,39220025,8112939568,110958616,2023-09-06,18:30:00
2023-09-06 18:30:00,30,UPPLB02,nodeName=dgw,189506787,198248625,31306152088,92344140,14865793695,227266700,2023-09-06,18:30:00
2023-09-06 18:30:00,30,UPCBT03,nodeName=dgw,139193649,157502097,22967293635,143826436,10252879404,235844466,2023-09-06,18:30:00
